,Cell names,p_vals
240,Pericyte_2 x vSMCs_2,0.12585396437242263
241,Capillary_Endo x Venous_Endo,0.11135994708064523
242,Adipo x Pericyte_1,0.1596591858568051
243,Fib_3 x Lymphatic_Endo,0.15404135253744644
244,CCL18_Macrophages x Pericyte_2,0.1138750735173233
245,CD8 x Neuronal,0.11664918936676168
246,NK_T x Venous_Endo,0.15279054850616602
247,Adipo x vSMCs_2,0.15995373152977738
248,SPP1_Macrophages x damaged_CM,0.12054984478304176
249,Fib_SCARA5 x prolif,0.12186463186819266
250,Capillary_Endo x vSMCs_1,0.12189560680758015
251,Endocardial_Endo x NK_T,0.1229332634697137
252,CD8 x vCM_4,0.12364924674228915
253,CCL18_Macrophages x Neuronal,0.12379948273132227
254,Capillary_Endo x SPP1_Macrophages,0.1565484421327214
255,Endocardial_Endo x intermediate_CM,0.18097289072156872
256,vCM_3 x vCM_4,0.2254011220554148
257,LYVE_PLTP_Macrophages x vCM_3,0.15783138920270914
258,Fib_SCARA5 x SPP1_Macrophages,0.16633647298928944
259,LYVE_PLTP_Macrophages x intermediate_CM,0.1293209802569332
260,Adipo x Monocytes,0.18015808267260658
261,Fib_SCARA5 x vSMCs_1,0.1342006408671274
262,CCL18_Macrophages x Fib_0,0.1752625870065588
263,CD4 x CD8,0.13488103471085705
264,CD8 x Lymphatic_Endo,0.13590453868826233
265,Pericyte_2 x Venous_Endo,0.169999744916011
266,LYVE_FOLR_Macrophages x vCM_4,0.13679951861786266
267,Mast x Pericyte_2,0.16928625861769367
268,Capillary_Endo x intermediate_CM,0.17188794403041732
269,CD4 x Neuronal,0.1392635901744012
270,damaged_CM x damaged_CM,0.14040355041622365
271,Adipo x Neuronal,0.18035156490872625
272,Fib_0 x Mast,0.1649764075677227
273,NK x vCM_4,0.14388600641569407
274,Arterial_Endo x damaged_CM,0.189174814809889
275,NK x Pericyte_1,0.14600586146732702
276,LYVE_PLTP_Macrophages x damaged_CM,0.1478444567904016
277,Fib_3 x damaged_CM,0.14945879267403683
278,NK_T x intermediate_CM,0.14967001018141957
279,Monocytes x vSMCs_2,0.18054924798930783
280,CD8 x Pericyte_2,0.17905341580495776
281,Fib_0 x damaged_CM,0.15323152517901867
282,SPP1_Macrophages x intermediate_CM,0.15383431586580723
283,CD8 x Mast,0.1623221549626626
284,CD8 x Fib_SCARA5,0.15573199620289874
285,NK_T x Neuronal,0.15638357067254496
286,Arterial_Endo x Fib_SCARA5,0.49723929637707454
287,Fib_3 x Fib_SCARA5,0.1852416909090098
288,NK_T x healthy_CM,0.2539098007774331
289,Endocardial_Endo x damaged_CM,0.16171722461588098
290,Neuronal x Pericyte_2,0.16699868770464393
291,Neuronal x Pericyte_1,0.15973312911127296
292,Arterial_Endo x Endocardial_Endo,0.18023274275463355
293,CD4 x CD4,0.1624342869752654
294,LYVE_FOLR_Macrophages x Pericyte_1,0.20108506398389792
295,CD8 x NK_T,0.17303482672332482
296,Adipo x Myofib,0.23489497755540645
297,LYVE_FOLR_Macrophages x intermediate_CM,0.1967798873866466
298,Adipo x Adipo,0.21740880552670885
299,damaged_CM x vSMCs_2,0.17120066573374138
300,Arterial_Endo x vSMCs_2,0.17166423197311284
301,CD4 x Pericyte_2,0.20521774531361156
302,Mast x Neuronal,0.1749459962340389
303,Lymphatic_Endo x NK_T,0.17565475919256196
304,NK_T x prolif,0.17573320556234207
305,Adipo x Endocardial_Endo,0.25313670680927314
306,Myofib x damaged_CM,0.17751594464773002
307,Fib_3 x vSMCs_1,0.18782693887301527
308,damaged_CM x vCM_4,0.183018898541242
309,Lymphatic_Endo x Pericyte_2,0.18335990664110924
310,Capillary_Endo x Endocardial_Endo,0.9057169756928647
311,Neuronal x vSMCs_1,0.2078618484306362
312,Myofib x vCM_3,0.19022715170659416
313,Adipo x LYVE_FOLR_Macrophages,0.256732116860496
314,CCL18_Macrophages x healthy_CM,0.2022443838755057
315,CCL18_Macrophages x Fib_SCARA5,0.22941523726648652
316,SPP1_Macrophages x SPP1_Macrophages,0.27508746228032177
317,Fib_0 x vCM_3,0.21548067870145443
318,CD4 x Fib_SCARA5,0.19830692216978307
319,CD8 x SPP1_Macrophages,0.23724970263789524
320,healthy_CM x vSMCs_2,0.2513828748446954
321,Purkinje_fibers x healthy_CM,0.8470344594571941
322,Fib_3 x intermediate_CM,0.29818790722811483
323,Fib_0 x intermediate_CM,0.25471721923634916
324,CD8 x Monocytes,0.23627923355367564
325,Lymphatic_Endo x Neuronal,0.23302060786990683
326,Fib_3 x prolif,0.21301312539199577
327,Pericyte_2 x vSMCs_1,0.2900898522576376
328,CCL18_Macrophages x CD8,0.2465290450480722
329,LYVE_PLTP_Macrophages x SPP1_Macrophages,0.29111278864066026
330,CD8 x NK,0.21510891081206618
331,Fib_3 x Neuronal,0.23031494522511164
332,LYVE_FOLR_Macrophages x vSMCs_1,0.215807334280901
333,CD4 x Mast,0.2223656855986445
334,Fib_0 x NK_T,0.23220434373719054
335,LYVE_FOLR_Macrophages x Venous_Endo,0.23965477050122996
336,LYVE_PLTP_Macrophages x LYVE_PLTP_Macrophages,0.2715745193188463
337,Mast x vCM_4,0.22266224528630468
338,Monocytes x vCM_4,0.22305983849652047
339,Capillary_Endo x LYVE_FOLR_Macrophages,0.38730907215053334
340,CD4 x NK_T,0.22954606181818737
341,Arterial_Endo x intermediate_CM,0.30219170148259517
342,Lymphatic_Endo x NK,0.2369581869161142
343,Capillary_Endo x NK,0.2411644755198511
344,Adipo x damaged_CM,0.32312262469739284
345,Purkinje_fibers x vCM_4,0.25335515145469834
346,intermediate_CM x vCM_4,0.2560522397760103
347,Fib_SCARA5 x Mast,0.2675428387893617
348,CCL18_Macrophages x damaged_CM,0.2560885425920471
349,Pericyte_1 x prolif,0.2608143878992627
350,Endocardial_Endo x NK,0.26330644336507225
351,Fib_3 x Fib_3,0.3477482179434713
352,Purkinje_fibers x vSMCs_1,0.2664280747232685
353,CD4 x SPP1_Macrophages,0.30924114066728414
354,CCL18_Macrophages x Purkinje_fibers,0.2681412857616234
355,Capillary_Endo x Capillary_Endo,0.3555292983438245
356,Myofib x NK,0.2986254115678289
357,NK_T x Purkinje_fibers,0.2690027534711752
358,Purkinje_fibers x perivascular_fibroblasts,0.27217105357371163
359,NK x vSMCs_2,0.3119031885214948
360,healthy_CM x vCM_4,0.27725044605885685
361,Fib_3 x LYVE_FOLR_Macrophages,0.6348883538226163
362,Adipo x Fib_SCARA5,0.3724987870386248
363,Monocytes x SPP1_Macrophages,0.3731108100587547
364,Fib_SCARA5 x NK_T,0.29402382539956895
365,CD4 x NK,0.28527453159137867
366,Neuronal x SPP1_Macrophages,0.2863426419257188
367,Purkinje_fibers x Purkinje_fibers,0.2891002456461694
368,Adipo x intermediate_CM,0.9236368957233347
369,CD4 x Monocytes,0.321203289816752
370,CCL18_Macrophages x CD4,0.3307639872068337
371,CD8 x LYVE_PLTP_Macrophages,0.31452716892332205
372,CCL18_Macrophages x intermediate_CM,0.2960068167776885
373,CD4 x vCM_4,0.2973179785737791
374,Purkinje_fibers x damaged_CM,0.2994404507922165
375,Fib_0 x Neuronal,0.30129799110046385
376,Pericyte_1 x SPP1_Macrophages,0.3623629896220384
377,Lymphatic_Endo x damaged_CM,0.47124690649926815
378,CD8 x Purkinje_fibers,0.3040561364711942
379,Venous_Endo x healthy_CM,0.42063221265962736
380,LYVE_FOLR_Macrophages x prolif,0.30876454077397186
381,Pericyte_2 x Purkinje_fibers,0.415601205719339
382,Fib_SCARA5 x vCM_4,0.3153950123648992
383,Arterial_Endo x LYVE_FOLR_Macrophages,0.6533252518879875
384,CD4 x Purkinje_fibers,0.31626931060972086
385,prolif x vCM_4,0.31628357870516854
386,Mast x Purkinje_fibers,0.31897806462821854
387,LYVE_FOLR_Macrophages x Myofib,0.3277209630568487
388,Purkinje_fibers x Venous_Endo,0.32168660779177627
389,Pericyte_1 x vSMCs_1,0.3275924538222877
390,Fib_3 x NK_T,0.32825508749195986
391,Adipo x vCM_4,0.5498204757403193
392,NK x vSMCs_1,0.3639775334373858
393,Neuronal x Venous_Endo,0.3672169413962899
394,Endocardial_Endo x vSMCs_2,0.3330948195050542
